names,par_number,names_index,estimated_params,baseline_params,mean_sim_params,standard_deviations,sim_1,sim_2,sim_3,sim_4,sim_5,sim_6,sim_7,sim_8,sim_9,sim_10
αH,2,3,4.603959948020077,1.9925235861601922,5.024517002028449,0.7751309967798189,4.637270202678675,4.48054050050365,4.6858564044701625,4.0969455782986435,4.567085128939051,6.023616862520068,4.996976908333217,4.981753214894937,6.689677067046303,5.0854481525997794
αH,2,4,1.1343932440846292,2.2980538403678277,1.6441304857639438,1.2529055241214175,0.8106999521549709,1.1506944308327118,1.135054924929232,1.1485731823068557,0.7335252079197518,3.495489692773467,1.011242512854918,1.4709123340546306,4.413598877739717,1.071513742073179
αH,2,5,-0.5670751733687864,1.863977380139027,-0.338161736587539,0.7024572752460713,-0.7853607941777268,-0.5651828143233684,-0.31407173724793674,-0.19776691528016646,-1.2006839123543127,0.7963725445664914,-0.24603420356569755,-0.5119581132338844,0.8335591333746917,-1.1904905536334804
αH,2,6,-2.2559929599550204,1.653498443819959,-1.7882022735611085,0.7193283239189454,-2.4181246526584492,-1.620002984439673,-2.156667836349517,-2.0461505478537014,-2.5953022173623976,-0.7234246763560979,-1.8765431956518581,-2.031393219586246,-0.34052266616292587,-2.07389073919022
αH,2,7,-2.2962460649081566,1.4740442101219,-1.8496545960714894,0.9681544082400332,-1.9820096715985012,-2.6340215232292628,-2.0754961620067016,-2.39600366795511,-2.43594255062698,0.11727130209061994,-2.1967313149556724,-2.097210993988349,-0.24673275076619602,-2.549668627678742
αH,2,8,0.5323871990162135,2.9794695425481996,1.008176605002107,0.9672120215116026,0.43963543363379637,0.7269554663841298,0.4316453835982802,0.623517912863832,0.15445080280961754,2.6434051792643203,0.548761402569401,0.9558422236945193,2.947653407823738,0.6098988373794357
αA,3,1,1.3204832527431036,0.7208340479548389,1.2738207576313907,0.10731574960473322,1.2333017367619339,1.2961342531674667,1.1810891480784702,1.1124686659013896,1.1391390078385828,1.4544722626094997,1.3135789416577464,1.2918877967388425,1.3576990756371956,1.3584366879227803
αA,3,2,5.599646797325832,0.9628349020140207,5.650941409572919,0.5488770127908457,6.59162039704985,5.69274905873877,5.3863223530568485,4.879577823410908,5.785853831692779,6.091261544762516,4.992028062245343,5.702917980753713,6.197110199997297,5.189972844021164
αA,3,3,2.6263180338161622,-1.0597607613312017,2.738488380194152,0.47645678883116754,2.460090923386454,3.096385444421953,2.8605270768952384,1.8919572358515284,2.485419739866931,2.531506525425623,2.679732389803978,3.6893050225770696,2.659338697594787,3.0306207461179593
αA,3,4,5.638983067724055,0.9926448540350239,5.4845410306279145,0.5772446460713998,5.147657072180653,5.730093342539116,4.635315502030239,5.104899920780912,5.126131658374462,6.5703755321657225,6.068763809640938,5.8372539868525575,5.060106957756603,5.564812523957938
αA,3,5,2.4973727154349663,0.9042429345773736,2.645232670227499,0.2846041713645173,2.35547089902111,2.612522492600217,2.013014529296574,2.8616901618890616,2.811837145921541,2.974597595103094,2.8901473721302096,2.6175572719780362,2.665154221161523,2.6503350131736223
αA,3,6,5.073768481181914,1.9144243253417141,5.2314734082312615,0.521034079616413,5.015692947864462,4.4037662566252695,4.95402144562976,5.179893480557381,5.459441444479884,5.987650567497557,5.950936798249638,4.633940540492073,5.143284338421783,5.58610626249481
αA,3,7,5.997499914671871,2.1135369009596543,5.939768650393042,0.49449437166170784,5.257050887971651,5.785882864104978,6.066253722269075,6.027944769447632,5.377680979110344,6.913907672751992,6.017439337359697,5.786335154197234,5.663130862000316,6.502060254717495
αA,3,8,8.649507122261436,2.9340382243088134,8.887786058535854,1.0149584386726445,8.568597060418087,9.311223307585372,8.967825503503814,6.764179547825893,8.434529349767132,9.888594412628482,10.182376085067277,8.005973160035452,8.968534847747758,9.786027310779257
σH,4,1,7.723424556763497,1.0,7.906185977301405,0.6382660148361794,6.919717397601789,7.931858695810927,7.313327301381448,7.193224969738588,7.560507064401742,8.555895330501937,8.696299316142253,8.371200953409398,7.943294986160062,8.576533757865908
σC,5,1,2.3653035969534573,1.0,2.49437825885935,0.2959817429017399,2.1947190154376397,2.369667033473023,2.5353350459198967,2.126498913205933,2.0537222823811963,2.7067446810500955,2.7621526856247125,2.7335714422127957,2.91263263354594,2.54873885574227
αWR,6,1,1.5145405426770386,0.0,1.549309641628327,0.15323943538575166,1.3010670687748318,1.5741736566173066,1.438056501085242,1.5042367718402039,1.4380364024958747,1.6601844938699308,1.7024398913924235,1.6746393549309053,1.418895826541295,1.7813664487352572
αWR2,7,1,-0.9684179095955542,0.0,-0.9944910067332078,0.11815232625148074,-0.8127281942166054,-0.9429987949185121,-0.922530632760375,-0.9868548215599695,-0.8767294891221926,-1.1461616686175837,-1.145114067709057,-1.0732790689660423,-0.9251273134020882,-1.113386016059651
αF,8,1,0.31242960175280426,0.14635334001838948,0.3049283469899662,0.0730513534137652,0.2668269162640337,0.30504975440862614,0.1573692173171938,0.24980666211046454,0.3383432519298165,0.3903858682175076,0.3748280282119794,0.2916167773717614,0.2820468569608661,0.39301013710741234
αF,8,2,-0.36526112531533456,-0.9946283418254934,-0.6220228556963778,0.49508165451767716,0.18379130055308124,-0.23540457370773898,-0.8706309907449631,-0.4424894290862142,0.027515389594613075,-0.8116629089809095,-1.3742148466181903,-0.7007238603909167,-1.0089115054505184,-0.9874971321320217
αF,8,3,1.5486335860250984,0.7090647034077757,1.5583886429278553,0.2738273372706625,1.5014495101453302,1.8449108072556362,1.6037327058864643,1.1615949755482136,1.5670798715811303,1.2728927157476637,1.5747524487652504,2.073100976080651,1.2992499044816415,1.685122513786571
αF,8,4,2.2356941001372572,0.44629680791559523,2.1885438374614967,0.14667506553928872,2.1438589615938963,2.308912780615096,1.9869860935983534,2.039482607910055,2.136004565700121,2.3848940757835666,2.3297687972812264,2.2508978275842653,1.999802703384952,2.3048299611634344
αF,8,5,1.8784071045375377,0.5056105467856735,1.9380107615400828,0.28077392418196895,1.7490226365400618,2.1133972187249457,1.637186333221949,1.8794754281244856,1.5695260986114357,2.53363923947117,2.128150602951789,1.9919429036517426,1.9745115500700832,1.8032556040331635
αF,8,6,1.0578166117438919,0.805460589587569,1.0755048557729472,0.3013725881841934,1.1411731084127839,0.6785642102444865,0.9886491620550962,1.3112358342977803,1.424227208556538,1.3649739722698215,1.373643311742323,0.6759450959523384,0.7037451921142575,1.0928914620840486
αF,8,7,3.083577418608038,1.5792051359684194,3.1145003378696483,0.2476579861282045,2.8334568504593176,2.9818763904720154,3.232263558227662,3.1578792183754967,2.8577838188527007,3.4635299396491277,3.1705518811407765,3.1159544512021,2.816896187919371,3.5148110823979124
αF,8,8,2.941901102098772,1.131620915979134,3.011596972845544,0.41644951089362575,2.9998257164977935,3.314318237156163,3.043498728011325,2.2472304300298314,2.9681505665196077,3.3422724674395834,3.5299382402405346,2.4995429673845586,2.7459224606783637,3.425269914497679
β,9,1,0.6028747317177763,0.9,0.607452235343023,0.059811774566387546,0.6262292039666507,0.5628603782815418,0.5666575780933999,0.64405771784917,0.5637788519538148,0.6496502697151548,0.5791386356174651,0.5086088146884374,0.6846045123162288,0.6889363909483666
wq,10,1,5.0,1.0,4.770227306696866,0.47636903887545085,5.0,5.0,5.0,5.0,5.0,4.01927362861929,5.0,5.0,3.7327170808487256,4.950282357500657
