Year,Site,Treatment_Num,LFP,Earnings,Welfare,Receipt,FoodStamps,TotInc,NEWWS,Treatment,Imputed_Earnings,DATE,CPIAUCSL,year,CPI
1994,MFIP-RA,1,51.36666666666667,3780.0,82.2,5058.666666666667,,8838.666666666666,0.0,Treatment,7358.85788449059,1994-01-01,148.225,1994,1.0885556915544676
1995,MFIP-RA,1,54.849999999999994,5780.0,62.27499999999999,4203.0,,9983.0,0.0,Treatment,10537.830446672744,1995-01-01,152.38333333333333,1995,1.1190942472460221
1996,MFIP-RA,1,57.75,7472.0,47.55,3162.0,,10634.0,0.0,Treatment,12938.528138528138,1996-01-01,156.85833333333332,1996,1.1519583843329253
1997,MFIP-RA,1,58.4,8344.0,40.9,2660.0,,11004.0,0.0,Treatment,14287.671232876713,1997-01-01,160.525,1997,1.178886168910649
1991,Atlanta,0,44.4,1647.0,82.7,,,7188.0,1.0,Control,3709.4594594594596,1991-01-01,136.16666666666666,1991,1.0
1992,Atlanta,0,49.8,2578.0,70.9,,,7531.0,1.0,Control,5176.706827309237,1992-01-01,140.30833333333334,1992,1.0304161566707468
1993,Atlanta,0,54.1,3313.0,61.2,,,7928.0,1.0,Control,6123.844731977819,1993-01-01,144.475,1993,1.061015911872705
1994,Atlanta,0,58.5,4255.0,50.1,,,8364.0,1.0,Control,7273.504273504274,1994-01-01,148.225,1994,1.0885556915544676
1995,Atlanta,0,63.0,5586.0,36.5,,,8976.0,1.0,Control,8866.666666666666,1995-01-01,152.38333333333333,1995,1.1190942472460221
1991,Atlanta,1,49.1,2043.0,78.2,,,7409.0,1.0,Treatment,4160.896130346232,1991-01-01,136.16666666666666,1991,1.0
1992,Atlanta,1,55.3,3228.0,64.7,,,7888.0,1.0,Treatment,5837.2513562386985,1992-01-01,140.30833333333334,1992,1.0304161566707468
1993,Atlanta,1,58.4,3930.0,56.1,,,8271.0,1.0,Treatment,6729.452054794521,1993-01-01,144.475,1993,1.061015911872705
1994,Atlanta,1,61.5,4815.0,44.5,,,8587.0,1.0,Treatment,7829.268292682927,1994-01-01,148.225,1994,1.0885556915544676
1995,Atlanta,1,65.1,5821.0,32.6,,,8983.0,1.0,Treatment,8941.62826420891,1995-01-01,152.38333333333333,1995,1.1190942472460221
1991,Atlanta,2,45.5,1846.0,80.8,,,7264.0,1.0,Treatment,4057.142857142857,1991-01-01,136.16666666666666,1991,1.0
1992,Atlanta,2,54.3,3059.0,66.2,,,7834.0,1.0,Treatment,5633.517495395948,1992-01-01,140.30833333333334,1992,1.0304161566707468
1993,Atlanta,2,58.2,3912.0,57.4,,,8283.0,1.0,Treatment,6721.649484536081,1993-01-01,144.475,1993,1.061015911872705
1994,Atlanta,2,60.3,4910.0,46.9,,,8805.0,1.0,Treatment,8142.620232172471,1994-01-01,148.225,1994,1.0885556915544676
1995,Atlanta,2,63.6,5671.0,34.5,,,8933.0,1.0,Treatment,8916.666666666666,1995-01-01,152.38333333333333,1995,1.1190942472460221
1991,GR,0,52.9,1759.0,77.8,,,8037.0,1.0,Control,3325.141776937618,1991-01-01,136.16666666666666,1991,1.0
1992,GR,0,60.6,2874.0,60.8,,,7987.0,1.0,Control,4742.574257425743,1992-01-01,140.30833333333334,1992,1.0304161566707468
1993,GR,0,65.0,4211.0,48.0,,,8391.0,1.0,Control,6478.461538461538,1993-01-01,144.475,1993,1.061015911872705
1994,GR,0,70.0,5480.0,38.0,,,8807.0,1.0,Control,7828.5714285714275,1994-01-01,148.225,1994,1.0885556915544676
1995,GR,0,73.0,6447.0,27.8,,,8950.0,1.0,Control,8831.506849315068,1995-01-01,152.38333333333333,1995,1.1190942472460221
1991,GR,1,63.6,2289.0,68.8,,,7743.0,1.0,Treatment,3599.056603773585,1991-01-01,136.16666666666666,1991,1.0
1992,GR,1,67.2,3385.0,53.5,,,7723.0,1.0,Treatment,5037.202380952381,1992-01-01,140.30833333333334,1992,1.0304161566707468
1993,GR,1,69.8,4658.0,41.2,,,8220.0,1.0,Treatment,6673.352435530086,1993-01-01,144.475,1993,1.061015911872705
1994,GR,1,71.3,5615.0,32.5,,,8485.0,1.0,Treatment,7875.175315568023,1994-01-01,148.225,1994,1.0885556915544676
1995,GR,1,70.0,6376.0,24.3,,,8569.0,1.0,Treatment,9108.571428571428,1995-01-01,152.38333333333333,1995,1.1190942472460221
1991,GR,2,58.1,1869.0,73.7,,,7777.0,1.0,Treatment,3216.8674698795176,1991-01-01,136.16666666666666,1991,1.0
1992,GR,2,65.5,3354.0,54.3,,,7905.0,1.0,Treatment,5120.6106870229005,1992-01-01,140.30833333333334,1992,1.0304161566707468
1993,GR,2,67.2,4514.0,41.7,,,8165.0,1.0,Treatment,6717.261904761905,1993-01-01,144.475,1993,1.061015911872705
1994,GR,2,70.0,5535.0,32.5,,,8413.0,1.0,Treatment,7907.142857142856,1994-01-01,148.225,1994,1.0885556915544676
1995,GR,2,70.3,6345.0,25.8,,,8666.0,1.0,Treatment,9025.604551920342,1995-01-01,152.38333333333333,1995,1.1190942472460221
1991,Riverside,0,31.6,1495.5,70.94999999999999,,,8670.5,1.0,Control,4732.594936708861,1991-01-01,136.16666666666666,1991,1.0
1992,Riverside,0,34.45,2184.0,58.2,,,7924.0,1.0,Control,6339.622641509433,1992-01-01,140.30833333333334,1992,1.0304161566707468
1993,Riverside,0,37.3,2553.5,49.85,,,7594.5,1.0,Control,6845.844504021447,1993-01-01,144.475,1993,1.061015911872705
1994,Riverside,0,39.5,3077.5,43.7,,,7531.0,1.0,Control,7791.139240506329,1994-01-01,148.225,1994,1.0885556915544676
1995,Riverside,0,42.2,3590.0,36.8,,,7337.5,1.0,Control,8507.109004739335,1995-01-01,152.38333333333333,1995,1.1190942472460221
1991,Riverside,1,50.6,2460.0,62.9,,,8722.0,1.0,Treatment,4861.660079051383,1991-01-01,136.16666666666666,1991,1.0
1992,Riverside,1,45.4,3039.0,50.1,,,7663.0,1.0,Treatment,6693.832599118942,1992-01-01,140.30833333333334,1992,1.0304161566707468
1993,Riverside,1,44.5,3389.0,42.7,,,7420.0,1.0,Treatment,7615.730337078651,1993-01-01,144.475,1993,1.061015911872705
1994,Riverside,1,45.8,3867.0,37.0,,,7469.0,1.0,Treatment,8443.231441048036,1994-01-01,148.225,1994,1.0885556915544676
1995,Riverside,1,48.7,4683.0,30.2,,,7655.0,1.0,Treatment,9616.016427104722,1995-01-01,152.38333333333333,1995,1.1190942472460221
1991,Riverside,2,35.7,1446.0,66.4,,,8249.0,1.0,Treatment,4050.4201680672263,1991-01-01,136.16666666666666,1991,1.0
1992,Riverside,2,37.7,2025.0,54.2,,,7303.0,1.0,Treatment,5371.3527851458875,1992-01-01,140.30833333333334,1992,1.0304161566707468
1993,Riverside,2,39.3,2561.0,47.1,,,6997.0,1.0,Treatment,6516.539440203563,1993-01-01,144.475,1993,1.061015911872705
1994,Riverside,2,40.9,2857.0,41.5,,,6768.0,1.0,Treatment,6985.3300733496335,1994-01-01,148.225,1994,1.0885556915544676
1995,Riverside,2,44.9,3384.0,34.5,,,6607.0,1.0,Treatment,7536.74832962138,1995-01-01,152.38333333333333,1995,1.1190942472460221
